cycle_ts,cycle_date,env,dep_id,milestone,row_id,epic_issue,epic_name,status,status_class
2026-06-04 23:47:38,2026-06-04,,,,224,4272,Other / single-row epics,,ABSENT
2026-06-04 23:47:38,2026-06-04,,,,225,4278,Other / single-row epics,,ABSENT
2026-06-04 23:47:38,2026-06-04,,,,226,3376,FUNNEL (customer purchase),,ABSENT
2026-06-04 23:47:38,2026-06-04,,,,227,4415,Other / single-row epics,,ABSENT
2026-06-04 23:47:38,2026-06-04,,,,228,4435,Other / single-row epics,,ABSENT
2026-06-04 23:47:38,2026-06-04,,,,229,4409,Other / single-row epics,,ABSENT
2026-06-04 23:47:38,2026-06-04,,,,230,4427,Other / single-row epics,,ABSENT
2026-06-04 23:47:38,2026-06-04,,,,231,4411,Other / single-row epics,,ABSENT
2026-06-04 23:47:38,2026-06-04,,,,232,4272,Other / single-row epics,,ABSENT
2026-06-04 23:47:38,2026-06-04,,,,233,4422,Other / single-row epics,,ABSENT
2026-06-04 23:47:38,2026-06-04,,,,234,4307,Other / single-row epics,,ABSENT
2026-06-04 23:47:38,2026-06-04,,,,235,4437,Other / single-row epics,,ABSENT
2026-06-04 23:47:38,2026-06-04,,,,236,4439,Other / single-row epics,,ABSENT
2026-06-04 23:47:38,2026-06-04,,,,237,4416,Other / single-row epics,,ABSENT
2026-06-04 23:47:38,2026-06-04,,,,238,4282,Other / single-row epics,,ABSENT
2026-06-04 23:47:38,2026-06-04,,,,239,4002,Crossplane adoption seam,,ABSENT
2026-06-04 23:47:38,2026-06-04,,,,240,4706,Convergence readiness,,ABSENT
2026-06-04 23:47:38,2026-06-04,,,,241,4706,Convergence readiness,,ABSENT
2026-06-04 23:47:38,2026-06-04,,,,242,4706,Convergence readiness,,ABSENT
2026-06-04 23:47:38,2026-06-04,,,,243,4706,Convergence readiness,,ABSENT
2026-06-05 18:53:53,2026-06-05,hw97,,,R1,4454,Other / single-row epics,,ABSENT
2026-06-05 18:53:53,2026-06-05,hw97,,,R2,4467,Other / single-row epics,,ABSENT
2026-06-05 18:53:53,2026-06-05,hw97,,,R3,4448,Other / single-row epics,,ABSENT
2026-06-05 18:53:53,2026-06-05,hw97,,,R4,4458,Other / single-row epics,,ABSENT
2026-06-05 18:53:53,2026-06-05,hw97,,,R5,4437,Other / single-row epics,,ABSENT
2026-06-05 18:53:53,2026-06-05,hw97,,,R6,4442,Other / single-row epics,,ABSENT
2026-06-05 18:53:53,2026-06-05,hw97,,,R7,4444,Other / single-row epics,,ABSENT
2026-06-05 18:53:53,2026-06-05,hw97,,,R8,4447,Other / single-row epics,,ABSENT
2026-06-05 18:53:53,2026-06-05,hw97,,,R9,4446,Other / single-row epics,,ABSENT
2026-06-05 18:53:53,2026-06-05,hw97,,,R10,4471,Other / single-row epics,,ABSENT
2026-06-05 18:53:53,2026-06-05,hw97,,,R11,4354,Other / single-row epics,,ABSENT
2026-06-05 18:53:53,2026-06-05,hw97,,,R12,4460,Other / single-row epics,,ABSENT
2026-06-05 18:53:53,2026-06-05,hw97,,,R13,4436,Other / single-row epics,,ABSENT
