row_id,confidence,box,walk_every_cycles,streak,cross_env_proof,observations,cycles_since_walk,decay_applied,due,last_status,last_env,last_measured
211,0.3011,0,1,0,2,44,1,0.85,yes,NOTRUN,hw294,2026-08-11T10:11:14Z
212,0.0468,0,1,0,1,44,1,0.85,yes,NOTRUN,hw294,2026-08-11T10:11:14Z
213,0.0,0,1,0,0,44,1,0.85,yes,FAIL,hw294,2026-08-11T10:11:14Z
214,0.6855,0,1,0,2,44,1,0.85,yes,NOTRUN,hw294,2026-08-11T10:11:14Z
215,0.6855,0,1,0,2,44,1,0.85,yes,NOTRUN,hw294,2026-08-11T10:11:14Z
216,0.0597,0,1,0,1,44,1,0.85,yes,NOTRUN,hw294,2026-08-11T10:11:14Z
217,0.0597,0,1,0,1,44,1,0.85,yes,NOTRUN,hw294,2026-08-11T10:11:14Z
218,0.0,0,1,0,0,44,1,0.85,yes,FAIL,hw294,2026-08-11T10:11:14Z
219,0.0,0,1,0,0,44,1,0.85,yes,FAIL,hw294,2026-08-11T10:11:14Z
220,0.0,0,1,0,0,44,1,0.85,yes,FAIL,hw294,2026-08-11T10:11:14Z
221,0.0,0,1,0,0,44,1,0.85,yes,FAIL,hw294,2026-08-11T10:11:14Z
222,0.0,0,1,0,0,44,1,0.85,yes,FAIL,hw294,2026-08-11T10:11:14Z
223,0.0,0,1,0,0,44,1,0.85,yes,FAIL,hw294,2026-08-11T10:11:14Z
224,0.3011,0,1,0,2,44,1,0.85,yes,NOTRUN,hw294,2026-08-11T10:11:14Z
225,0.0752,0,1,0,1,44,1,0.85,yes,NOTRUN,hw294,2026-08-11T10:11:14Z
226,0.6855,0,1,0,2,44,1,0.85,yes,NOTRUN,hw294,2026-08-11T10:11:14Z
227,0.0,0,1,0,1,45,0,1.0,no,FAIL,hw294,2026-08-12 06:20:00
228,0.0,0,1,0,0,44,1,0.85,yes,FAIL,hw294,2026-08-11T10:11:14Z
229,0.0,0,1,0,2,45,0,1.0,no,FAIL,hw294,2026-08-12 06:20:00
230,0.6855,0,1,0,2,44,1,0.85,yes,NOTRUN,hw294,2026-08-11T10:11:14Z
231,0.8012,2,5,2,2,45,0,1.0,no,PASS,hw294,2026-08-12 06:20:00
232,0.0,0,1,0,1,44,1,0.85,yes,FAIL,hw294,2026-08-11T10:11:14Z
233,0.0702,0,1,0,1,44,1,0.85,yes,NOTRUN,hw294,2026-08-11T10:11:14Z
234,0.0,0,1,0,0,45,0,1.0,no,FAIL,hw294,2026-08-12 06:20:00
235,0.0,0,1,0,1,44,1,0.85,yes,FAIL,hw294,2026-08-11T10:11:14Z
236,0.0,0,1,0,1,45,0,1.0,no,FAIL,hw294,2026-08-12 06:20:00
237,0.0,0,1,0,1,44,1,0.85,yes,FAIL,hw294,2026-08-11T10:11:14Z
238,0.0572,0,1,0,1,44,1,0.85,yes,NOTRUN,hw294,2026-08-11T10:11:14Z
239,0.0,0,1,0,1,45,0,1.0,no,FAIL,hw294,2026-08-12 06:20:00
240,0.8012,2,5,2,2,45,0,1.0,no,PASS,hw294,2026-08-12 06:20:00
241,0.0,0,1,0,0,45,0,1.0,no,FAIL,hw294,2026-08-12 06:20:00
242,0.1963,0,1,0,1,44,1,0.85,yes,NOTRUN,hw294,2026-08-11T10:11:14Z
